"yearsBP","SPD","clim","conN","decN","wetwN","wetmN","pasN","araN","heaN"
9200,0.0100973857437775,-0.413700243357,936,3999,149,173,335,20,311
9100,0.0101476286538156,-0.709967453754,350,867,151,72,68,9,46
9000,0.0149869653826892,-0.911503768005,766,3245,155,134,218,13,196
8900,0.0233540059206281,-1.14543158088,742,3407,148,137,230,15,261
8800,0.0226602105745247,-1.14948988872,344,873,62,53,152,4,110
8700,0.0294047826006765,-0.759103367047,915,3166,148,159,293,11,225
8600,0.0358279396866661,-0.887785407334,1229,2529,115,98,143,6,148
8500,0.0537241246546632,-1.18851299355,1147,3107,216,248,332,16,370
8400,0.0247216733581259,-0.949077489483,402,1331,87,46,74,0,135
8300,0.028043472799919,-0.811848402859,1273,2801,188,179,298,13,384
8200,0.0231570457804247,-0.790991499909,1341,2233,144,144,143,10,266
8100,0.0423477739825084,-0.250646924169,881,2397,347,150,208,10,332
8000,0.0461181282026373,-0.286196686991,1396,2172,423,124,216,21,289
7900,0.0710349859267223,-0.406332438496,1559,3250,627,199,204,13,329
7800,0.0689319194014979,-0.392274903365,1273,2282,550,170,140,6,406
7700,0.0561370787218533,-0.894270942986,1057,1462,277,106,114,4,129
7600,0.0509984959689602,-0.635200883209,2489,3974,732,250,254,28,405
7500,0.080189854312084,-1.47074219911,1438,2039,448,250,187,10,197
7400,0.0689432185610417,-0.832331325248,2157,2146,536,131,104,14,163
7300,0.0765757006830666,-1.13332990748,1547,1944,561,207,164,19,213
7200,0.0788877170405923,-1.02811892221,1197,1251,200,70,65,5,73
7100,0.0753567077854768,-0.75498793161,2770,2915,603,288,167,24,221
7000,0.0753815741214467,-1.00420116429,1438,1539,425,154,89,6,139
6900,0.0740939705207255,-0.40161848954,1458,1139,214,99,88,7,157
6800,0.0505916154850474,-0.104301123816,1652,1973,453,148,92,5,161
6700,0.052179890469562,0.23021628636,1425,1794,432,201,85,4,163
6600,0.0986989931756826,0.0847759498485,1640,1670,257,124,129,19,163
6500,0.081118841679012,-0.0771851252165,1791,2429,536,179,126,6,266
6400,0.0858157712138832,-0.246273748716,1397,1578,248,151,70,9,209
6300,0.101936194038529,-0.755436944461,2673,2858,483,229,138,11,256
6200,0.135560197242902,-0.475003110923,1341,1941,279,113,54,11,148
6100,0.098476107112537,-0.210481358235,2421,2318,408,223,149,18,274
6000,0.0944618707166596,-0.250364230649,1809,2500,698,150,96,10,244
5900,0.125349773195378,-0.222246578147,1483,1268,265,220,116,8,161
5800,0.10056531640595,-0.812908559429,2513,3033,584,333,217,14,342
5700,0.102238993915922,0.11201512909,1641,1394,276,139,72,11,137
5600,0.0935155494723838,-0.359082099937,1909,1907,350,230,147,13,284
5500,0.129278009203086,-0.551378467644,2195,2236,483,143,105,22,317
5400,0.104084323612255,-0.329636889559,1152,1749,233,211,129,11,267
5300,0.106817834134943,-0.669803582835,1766,2874,398,193,133,16,287
5200,0.0834190615389582,-0.342537893745,1278,1435,252,98,70,6,147
5100,0.0878591707025648,-0.321275334402,1517,1896,210,211,149,12,284
5000,0.0932284964560635,-0.0105101156966,1227,1823,292,121,102,15,238
4900,0.127003482358447,-0.136906948417,1791,2317,251,182,151,17,304
4800,0.13854768963505,-0.184293639907,1542,2517,224,176,180,17,327
4700,0.0957073915023408,-0.457834877004,977,1581,188,145,144,19,259
4600,0.0951302069926066,-0.620290414326,1892,1760,169,197,92,5,176
4500,0.0953873654514655,-0.701761162484,1701,2000,188,147,112,10,246
4400,0.115080636379853,-0.648766264246,1311,1815,286,239,122,6,349
4300,0.103256435412695,-0.684067548982,945,1390,154,85,67,9,98
4200,0.102002952739462,-0.599293234718,1519,2647,230,238,167,18,282
4100,0.116061837592432,-0.492477344047,1894,1953,259,200,149,14,327
4000,0.135199730371362,-0.649076092508,1213,2155,195,110,130,23,213
3900,0.15770493674815,-0.334435093494,1014,1339,221,144,121,13,259
3800,0.155944810024624,-0.146398058982,1970,3101,296,255,225,14,369
3700,0.14067029720617,0.436134211535,827,726,326,79,47,10,427
3600,0.153614379485126,0.103485178843,1417,2403,173,195,148,7,252
3500,0.156644684949194,-0.85946054975,1675,2324,219,216,177,13,311
3400,0.0853955206892512,-1.15586440035,1183,2108,131,164,130,14,261
3300,0.104447571665582,-0.761597889493,1096,1707,166,182,158,15,276
3200,0.107885120433756,-0.504670985033,1813,2557,193,204,136,7,221
3100,0.0865273255424593,-0.788562921508,1093,2490,205,271,198,14,366
3000,0.0799021248959402,-0.828343606892,1023,1945,154,147,103,5,169
2900,0.0735347615419406,-0.498282691146,1794,2429,176,349,228,19,355
2800,0.0823265316179848,-1.20354236006,1069,2089,207,168,158,7,243
2700,0.109133154820383,-1.00375189731,831,2054,127,250,165,13,321
2600,0.0971552869758551,-0.826920930827,1701,2883,234,315,198,22,364
2500,0.0846512611107465,-1.15055454141,1511,2372,165,212,189,15,186
2400,0.124628272471354,-1.02609742113,1451,2847,418,322,237,36,464
2300,0.183246733802895,-1.22455415588,1530,2053,194,215,178,12,286
2200,0.180137324675195,-1.07468548212,1224,1509,111,156,84,11,116
2100,0.179115456614381,-1.18788359348,1404,2045,152,248,175,15,325
2000,0.167721077282217,-0.800511634554,1960,2481,212,229,214,17,286
1900,0.121142825608903,-0.895582606312,1607,2488,163,296,212,24,316
1800,0.111176259021269,-1.28821349932,1209,1686,137,259,199,28,277
1700,0.102311111666928,-1.5266950666,1451,2499,209,211,220,26,387
1600,0.119041511771543,-2.43499661665,1784,2244,260,400,407,59,580
1500,0.163262179680343,-2.55291640232,809,1533,111,164,151,21,199
1400,0.179263062105979,-2.38810345149,1222,1457,131,160,162,17,236
