"yearsBP","SPD","clim","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW"
9700,0.0105934763175662,1.69520519341,846,1875,80,62,207,5,139
9600,0.0167567732359407,1.496997779,1315,1407,125,63,137,0,231
9500,0.018348647434327,1.58700473022,636,954,61,59,147,2,39
9400,0.0027850155117682,2.22281202189,551,396,24,31,94,1,98
9300,0.00575746488604722,1.92581615533,1682,1948,179,102,312,3,173
9200,0.00184977518155089,2.66104651218,1714,2370,218,121,379,4,221
9100,0.00201540226768882,2.521126926,1406,3183,567,134,415,4,147
9000,0.0168851536862363,1.79808856201,1878,3200,641,86,308,8,165
8900,0.00860750970558078,1.82429955037,1004,1499,280,68,212,3,179
8800,0.00834711826251425,1.61649846056,993,1699,256,64,171,3,186
8700,0.00749268750629348,1.6243236084,2028,3352,615,152,355,6,353
8600,0.00465416633017887,1.67694050768,1703,2207,515,133,421,9,331
8500,0.00129434179406653,1.33213326009,1710,2734,756,99,311,8,333
8400,0.00425102362309887,1.69374794515,1235,1245,291,52,156,0,196
8300,0.0138359486548612,1.97931821696,1088,1948,545,72,239,5,198
8200,0.00651147973739423,1.53901919556,1462,2925,833,104,310,2,223
8100,0.0141753400277811,1.63801669312,1788,2102,606,102,313,3,251
8000,0.0143366473911817,1.56875050524,1158,2508,536,70,259,4,168
7900,0.0203518724934328,3.14808091566,1313,2333,818,63,173,4,150
7800,0.0165915700540482,3.07099790446,1592,2353,598,92,233,3,204
7700,0.0171308291103068,3.64847040473,1020,2084,673,63,119,2,110
7600,0.0154044208225374,3.76321331109,553,1285,429,49,170,3,67
7500,0.00248321486973078,3.6620255839,1153,1854,643,46,189,3,114
7400,0.00459033914724511,3.38378448147,1947,2791,925,79,151,2,173
7300,0.016856181724255,3.44974693807,839,1644,549,73,154,3,100
7200,0.0341071632060163,3.39248731486,807,1385,532,84,189,3,113
7100,0.0343895253490219,3.83529489814,745,1179,423,26,102,1,88
7000,0.0340345265934565,4.16555928209,1344,1932,683,120,219,4,169
6900,0.0332042395943713,3.91710560777,1209,2061,580,91,186,7,178
6800,0.0262530140757876,3.80725324504,578,742,303,39,38,1,37
6700,0.0273852008963226,4.67985463121,1257,1525,440,83,175,3,154
6600,0.0300932915978006,4.76977886285,1502,2157,761,107,240,4,180
6500,0.0300525740113597,4.91315692139,845,1618,632,57,88,0,105
6400,0.0269849047895447,4.92412956746,1299,1523,629,141,216,0,147
6300,0.0232876918212565,4.41121127319,1247,2044,746,70,109,3,127
6200,0.0213676916379238,3.87472591485,705,1544,587,82,167,3,116
6100,0.0277642824268406,4.41627844577,1532,1849,738,86,92,3,98
6000,0.0274202204744091,5.6739251336,858,1772,568,90,210,5,145
5900,0.0263790401605595,6.28908348592,940,1279,512,54,129,1,65
5800,0.031959847379011,5.83600594076,1396,1977,723,173,327,7,245
5700,0.0361373179987814,5.4758865153,888,919,307,60,94,4,90
5600,0.0708041130485245,5.08706517198,1369,1560,561,129,245,2,170
5500,0.0389990648396802,5.15178317261,955,1096,362,95,179,3,128
5400,0.0398549595570706,4.66349147881,1039,1764,660,81,203,7,129
5300,0.0398993266385422,4.63137035455,832,843,258,78,103,5,136
5200,0.0218917182765366,4.61444359334,1210,1938,685,67,193,5,152
5100,0.0242787858882195,4.88299058363,1071,1068,270,155,214,5,197
5000,0.0231885119416053,5.24783390978,803,1225,420,80,137,2,96
4900,0.0218243219824342,4.99143018595,985,1187,303,61,138,2,125
4800,0.0198660219166972,5.43467822266,1042,1023,317,98,201,6,134
4700,0.0218745818516286,5.98955577935,1363,2188,684,103,188,7,194
4600,0.0249376651420203,6.0752004971,654,522,140,56,107,4,66
4500,0.0293821624200462,5.43105078464,1384,1810,583,146,187,6,197
4400,0.0264595927442744,5.69253614299,1322,1656,548,143,224,6,151
4300,0.0129623964559595,4.97333739895,587,730,219,39,69,3,62
4200,0.0119842586456961,5.09719599067,1183,1135,315,174,214,2,151
4100,0.0254055833052016,5.05067997911,1267,2082,717,131,231,14,159
4000,0.0190977044900407,5.79126554362,812,766,217,83,161,4,103
3900,0.0276060452592244,6.21671981472,843,1116,358,104,175,3,93
3800,0.0284488075846838,5.05105049642,1131,1461,507,126,183,6,154
3700,0.0475812682402387,5.5163085395,1559,1827,674,171,271,5,151
3600,0.0654176657336204,5.62282239787,681,1202,412,100,138,7,103
3500,0.0697517571285697,5.6351155565,1321,2060,631,159,260,9,145
3400,0.0517394186898499,5.23792530992,1322,2148,740,209,345,7,159
3300,0.0779694236931556,5.47155786811,1184,1913,628,75,142,4,107
3200,0.0806373836025928,5.54360622491,1187,1495,465,162,261,7,123
3100,0.0540874956485765,6.0464519043,1353,1833,643,157,246,6,203
3000,0.0524851839256708,6.51079162259,1225,1727,641,201,323,4,162
2900,0.0505640628394069,6.37326568264,1549,1956,580,217,351,8,210
2800,0.04464340903549,5.98644951375,1043,1522,520,221,315,6,165
2700,0.0561903978569016,5.75003229438,1486,1906,540,177,408,16,202
2600,0.0503482981801137,4.95345970662,1254,1451,466,229,304,3,130
2500,0.0454783133867684,5.1071334805,1878,2575,846,274,461,15,255
2400,0.0750871901190467,4.88614047241,759,1338,494,171,303,5,123
2300,0.11877291568107,4.89037312486,1704,1917,615,228,431,11,238
2200,0.132116786995105,5.09477694702,1383,2232,707,259,460,12,237
2100,0.128463840257566,3.90786568197,1270,1520,486,188,256,12,182
2000,0.111238279988542,4.78831447686,1365,1645,436,329,388,8,247
1900,0.10352741115743,4.9277335239,2074,2732,890,416,652,18,376
1800,0.147729895084431,5.91391185845,1147,1606,478,381,462,11,279
1700,0.214449480266609,6.07570781793,1324,2234,839,298,400,11,202
1600,0.243516251547699,6.39635294257,989,1635,556,204,347,7,164
1500,0.234364632536553,5.84007062785,1297,1919,651,193,348,12,214
1400,0.179701685685175,4.49908192613,1071,1445,459,148,407,7,166
1300,0.101451081204053,5.3530891215,1161,1823,427,249,372,5,165
1200,0.108175723992644,5.66771480645,874,1877,483,164,346,11,185
1100,0.112556720927161,4.94740256076,1323,2451,506,307,525,39,276
1000,0.163480908040558,5.35303612264,1356,2715,842,306,633,31,299
900,0.220864993360233,5.05271548462,1100,1933,533,199,420,29,257
800,0.276337594499636,4.96403272502,1898,2968,839,470,749,32,507
700,0.351820213709026,4.37176654053,1518,2099,612,278,442,19,262
